staroplaninskilegendi_01_yovkov_0000|Старопланински легенди от Юрдан Йовков
staroplaninskilegendi_07_yovkov_0215|Изведнъж едно малко човече прикуси сукака и мина път на Индже. Беше Гърбавото. То се спря и се загледа.
staroplaninskilegendi_07_yovkov_0216|Изглеждаше, че се чуди на Индже, на коня му, на светналите му от сърма дрехи, на пауновото перо, което трепереше на кълпака му.
staroplaninskilegendi_07_yovkov_0217|Индже би го отминал, ако не беше забелязал, че това гърбаво и уродливо момче държи под мишницата си къса пушка.
staroplaninskilegendi_07_yovkov_0218|Мисли за добро имаше Фумъна Индже и не хора с пушки искаше да вижда днес, пък и весел беше и искаше да си пуше губа.
staroplaninskilegendi_07_yovkov_0219|Я слушай! Извикът ой на гърба вуту. Дай пушката тука!
staroplaninskilegendi_07_yovkov_0220|Гърбавото се начумери, измърмора нещо и избяга. Той е пътин, Дже видя отблизо очите му и тия очи събудиха у него нещо, което той не можа да разбере какво е. Но по отпуск на коня й тръгна подир него. — Дай пушката! — викаше той и се смееше.
staroplaninskilegendi_07_yovkov_0221|Гърбавото влезе в един двор. Индже подир него.
staroplaninskilegendi_07_yovkov_0222|Спрени на улицата, войводите го чакаха и се усмехваха, защото виждаха, че се шегува.
staroplaninskilegendi_07_yovkov_0223|Индже обърна коня си да се върне. Същия миг гърбавото вдигна пушката, прицели си и гръмна. Подскочи белия кон, Индже се изкриви на седлото и падна.
staroplaninskilegendi_07_yovkov_0224|Спуснаха се всички, които бяха наблизо, скочиха от конете и прихванаха Индже. Други погнаха гърбавото. Най-напред пренесоха Индже до пруста на къщата в двора, на която беше паднал. Разкопчаха го, търсеха раната. Бързаха да я привържат. А вън се повдигна страшен шум. Мятаха се черни коне, лъщяха я тегани, страшни гласове, пълни с отчаяние и болка, викаха – «Убиха войводата! Убиха Индже!»
staroplaninskilegendi_07_yovkov_0225|Спуснаха се конници от една и от друга страна, за да пресекат пътя на Гърбавото и да го хванат.
staroplaninskilegendi_07_yovkov_0226|Множеството, което се зададе от Камчерквата, повърна назад и се разбяга. Писнаха жени, селото се изпълни с викове и плач.
staroplaninskilegendi_07_yovkov_0227|До това време баба Яна кълмучката стоеше прилепена до стената на къщата си, гдето беше се случила. И въпреки страшната бъркотия наоколо, запазваше това спокойствие, което идеше преди всичко от възрастта и глухотата й.
staroplaninskilegendi_07_yovkov_0228|Но когато и тя чуда викат от всички страни – «Индже! Убиха Индже!» – трепна и се втурна към пруста. И тя се появи там разтреперана и суха, очите й горяха и търсеха неспокойно. Войводите, които се лутаха около Индже, я помислиха заобъркана от страх и я избутаха навън.
staroplaninskilegendi_07_yovkov_0229|Но тя можа да види Индже. Той лежаше на пруста, опрян до стената. Беше гологлав. Калпакът му с пълновото перо беше паднал до него. Нямаше болка на мургавото му лице, но дишаше тежко и смъка. Под него беше протекла локва кръв.
staroplaninskilegendi_07_yovkov_0230|В двора нахлуха много хора. Водеха гърбавото. Два му от войводите, Добри и Вълчан, бяха извили назад ръцете му и здраво го държаха. — Той е ли го уби, той е ли? — викнаха наоколо кърджелите и размахваха я таганите си. — Чакайте, при Индже да го заведем. Той да каже.
staroplaninskilegendi_07_yovkov_0231|И ония, които бяха при Индже, излязоха вън. Тогава баба Яна се приближи до него.
staroplaninskilegendi_07_yovkov_0232|5. Тели си инже
staroplaninskilegendi_07_yovkov_0233|кое туй мумче речинже.
staroplaninskilegendi_07_yovkov_0234|Твой ли? Ти ли си Индже? Ох, Божечко, какво стана!
staroplaninskilegendi_07_yovkov_0235|Тя говореше смъка, долната й челюстрепереше. И като разбра, че има малко време и трябва да бърза, тя се наведе над него и зашепна, ‒ Той дете е твоя син. ‒ Ах, защо го прибрах тогаз? По-добре да беше умряло.
staroplaninskilegendi_07_yovkov_0236|като че втори куршу му дариндже и той се дръпна назад.
staroplaninskilegendi_07_yovkov_0237|Докараха гърбавото. Индже го погледна. Грозно. Гърбаво. Ниско. На челото му падаше нечиста спластена коса. Гледаше изпод вежди като звяри измъкнат из дупката му. Но очите му се отделяха от цялата му грозота. Хубави, кафяви очи.
staroplaninskilegendi_07_yovkov_0238|Индже се вгледа в тях и познава очите на Пауна.
staroplaninskilegendi_07_yovkov_0239|– Ей го! – викаха войводите. – Какво да го правим? Да го ударем жив? Да го побием на кол?
staroplaninskilegendi_07_yovkov_0240|Индже притвори очи като от болка и не каза нищо.
staroplaninskilegendi_07_yovkov_0241|Смъртта разведреше лицето му.
staroplaninskilegendi_07_yovkov_0242|След малко той погледна и каза,
staroplaninskilegendi_07_yovkov_0243|Много майки съм разплакал, дойде и моя ред. Нищо да не правите на Туидете, ни косъм да не падне от главата му. Аз искам Тъй. Дайте му Туй. Той подаде кисията си. И пуснете го да си ходи създраве.
staroplaninskilegendi_07_yovkov_0244|Надвора, сред струпаните кърджали, се чу гласът на сяробър очията.
staroplaninskilegendi_07_yovkov_0245|Умирали? Не може да бъде! Чакайте да мина! Кажете му, че води жена му! Кажете му, че иде пауна!
staroplaninskilegendi_07_yovkov_0246|Както беше се поизправил, Индже се килна назад и падна. Надворе изпища жена.
staroplaninskilegendi_07_yovkov_0247|Войводите се спуснаха, изправиха Индже, викаха го, молеха му се да продума.
staroplaninskilegendi_07_yovkov_0248|Инже Беше мъртв.
staroplaninskilegendi_07_yovkov_0249|крайнинджи.
staroplaninskilegendi_08_yovkov_0000|Овчарова жалба От Старопланински легенди на Йордан Йовков Записано за LibriVox.org Записът е обществено достояние.
staroplaninskilegendi_08_yovkov_0001|Стефане, синко Стефане, дето си, обадими се!
staroplaninskilegendi_08_yovkov_0002|Народ на песен
staroplaninskilegendi_08_yovkov_0003|Една лятна вечер ни я с дяда Въля, стария горски стръжар, седяхме под големите орехи край село. Слънцето потъваше зад горите на Разбойна и насреща, по сините зъбери на Балкана догаряха пурпурните огняве на вечерната зара. Току над нас се издигаше висока камениста чука, цяла вече обгрната всянка, прилична на голяма птица с отпуснати крила, под която се гушеха една до друга като пилци, къщите на селото.
staroplaninskilegendi_08_yovkov_0004|След няколко дни пък, при промяната на вятъра, със същия тъмен и тайнствен език те заговорваха на черковната.
staroplaninskilegendi_08_yovkov_0005|И аз не зная друг спомен от детинството, изпълнен с такова очарование, както разговора на тия стари гори.
staroplaninskilegendi_08_yovkov_0006|Черковната хучи, ще се развали времето, казваше просто майка ни. Полъхваше хлад, някоя звезда се откъсваше и падаше от небето и ние бързахме да си приберем вкъщи. Ние най-малко мислехме, разбира се, за времето. Ние се прибирахме и отнасяхме в себе си само от трепета на страха и на любопитството за онова, което ставаше вън, което ставаше в кориите, под тъмния свод на зашумелите вековни дървета.
staroplaninskilegendi_08_yovkov_0007|И тая вечер черковната шумеше. Шумеше, но още тихо, сдържано. Ние гледахме с дяда Въля към поляната в подножието на старча. Там играеше хоро.
staroplaninskilegendi_08_yovkov_0008|Но ето, гайдата млъкна. До нас долетя вълна от смехове и висок говор. Спуснаха се към село, че връз си моми на групи и по-отделно. Както беше обичаят, те бързаха да грабнат менците си и да дойдат пак там за вода.
staroplaninskilegendi_08_yovkov_0009|Хубаво се веселят младите, рекохасна дяда Въля. Като си правеше цигара, дядо Вълю вдигна очи, нещо присмехулно светна в тях, на устните му заиграл смивка.
staroplaninskilegendi_08_yovkov_0010|А, той нищо не е, каза той. Де едно време, и момите бяха други тогаз, и момците.
staroplaninskilegendi_08_yovkov_0011|Де е другошното? Продължи той след малко. Де е оная скъпа премяна? Да можеше някак да видиш някоя момана труфена и нагиздена с някогашните тие дрехи? Ониеми тие лечета от ален и зеленат лаз, грейнали като слънце, писаните божи гробски престилки, алените терлици с купринин, пъстъргайтан, вървите с махмуди и рубета. И какви хубавици имаше тогаз! Бели и чернооки, високи,
staroplaninskilegendi_08_yovkov_0012|Той беше увчар.
staroplaninskilegendi_08_yovkov_0013|Един от някогашните овчари с пискиоли и чанти и дълги геги, на които стадата затъмняваха поляните, като че припадаше тъмна мъгла.
staroplaninskilegendi_08_yovkov_0014|Такви сувчари вече няма. Рядко имаше някой да се мери с него по хубост и сила, но прочу се най-много той с това, че никой не умееше да свири на кавал като него. Умите и булките, които беляха плътна на ореша и справени с плътната в ръце, стояха като в каменени и слушаха свирнята му. Пътници се спираха сред пътя си, забравяха се на конете си и не можеха да му се наслушат.
staroplaninskilegendi_08_yovkov_0015|Лете Стефан пасеше стадото си по зелените поляни на Балкана. Плъднуваше под дебелите яворови сенки. Но щом дойдеше есен, щом поляните посърваха, шумата на гората се зачервеше и гъсти мъгли плъзнеха по гребена на Балкана, като огромни змии. Тога стой! Наедно с всички овчари слизаше от планината. Кавалът му обаждаше, че си е дошел. Момите отиваха за вода на най-далечната чешма, тъда го видят. Но в село Стефан малко стоеше.
staroplaninskilegendi_08_yovkov_0016|Тъй ставаше всяка година. Но последната пролет Стефан се върна много променен. Замислен беше, тъжен. Не слизаше в село по големите празници на хорото, с другарите си беше мълчелив и хладен. Явно беше, че тъи нещо в душата си. Но старият кехая знаеше всичко, знаеха го и другите овчери.
staroplaninskilegendi_08_yovkov_0017|«Взе му ума, она е Долченка!» говораше кехаята на дружината овчари, които понякога насядали на голямото колело, се хранеха наедно. «Взе му ума! Не ще го биде!» Овчарите поглеждаха по Дирестефана и се позазмиваха. А той прав и тънък като топола, метнал беше вече пискиолията чанта през рамото си, грабнал беше гегата и ямурлука си и отиваше по Дирестадото си. Гледаше час по-скоро да се отдели на страна и да остане сам.
staroplaninskilegendi_08_yovkov_0018|Кавалът му не свиреше, говореше. То се издигне нагоре-нагоре и затрепти във възторки радост, то се опъне надолу и ниско заплаче зареди.
staroplaninskilegendi_08_yovkov_0019|В тие часове капчиците на русата се събираха по тревите и светеха като сълзи.
staroplaninskilegendi_08_yovkov_0020|Но ето Стефан оставеше тай жал на песени започваше друга, весела, за хоро. Ставаше весело навсякъде. Месецът, обърнат вече към гората, се смееше, звездите бързо-бързо трепкаха. В глуха дълбока въздишка изпискваше най-после кавалът и млъкваше.
staroplaninskilegendi_08_yovkov_0021|Мина лятото и Стефан повече не можа да таи. Когато дойде време да върви в Румъния, той каза на майка си, че ще се ожени за Елена, русокосото момичина дяда Никола, в кашлата на когото прекарваше всяка зима.
staroplaninskilegendi_08_yovkov_0022|Майка му нищо не каза, но отиде и обади на брата си, прочутия и богат Чорбаджи Димчо. Негови бяха овцете, които Стефан пасеше. Чорбаджията кипна от яд, развика се и се разгълча, че не иска за снаха боса и лиха селенка. На сестра си той каза, че тая зима Стефан ще прекара на Балкана, а тайно пратихе хаята с хабер до бащата на Елена, че Стефан са го сгодили и през неделята, що иде, ще го женят.
staroplaninskilegendi_08_yovkov_0023|Повярваха хората и кое от болка, кое от срам, още същата зима ожениха Елена за други.
staroplaninskilegendi_08_yovkov_0024|Да беше друг мъжът и Стефън би го убил. А той му беше побратим и за побратимство с него той беше се клял в черква.
staroplaninskilegendi_08_yovkov_0025|Стефан се върна, но не се прибранито в къшлата, нито у дома си. От тогава той се изгуби. Скоро една нощ къщите на Чурбаджи Димча пламнаха. Не беше тайна за никого, че това е страшното отмъщение на Стефана, че той е вече хайдутин, че се скита наблизо из Балкана с страшни закани срещу вуйча си. Той ходеше повече сам и никого не задяваше. Мнози начуваха кавала му из гъстите усои. Майка му останала съвсем сама.
staroplaninskilegendi_08_yovkov_0026|Често чула от хората, че Стефан го видяли някъде. Тя отиваше там, скидаше се по Балкана и нейният отчаян и плачевен вик будеше самотиите. Но Стефан не излизаше.
staroplaninskilegendi_08_yovkov_0027|А на други той се показваше. Той слизаше и на хорото дори. Не веднъж, когато на старче се люлееше голямо хоро, изгъстите дървета на корията се зачуваше кавал. Всички млъкват. Сладките звукове на кавала ги завладяват като магия. Моми и момци се споглеждат и си шепнат. Стефане, Ейко, Стружине!
staroplaninskilegendi_08_yovkov_0028|Ето от горе, от курета, кавалът засвирва на хуро.
staroplaninskilegendi_08_yovkov_0029|Пре тие лудовесели и игриви звуци никой не може да се удържи. Лицата светват усмихнати, ръцете сами се подават и в миг се залюляват чудно хоро. Хоро без говор, без шум. Очите са наведени, всички заслушани в кавала играят мълчешката, чува се само равномерният отсечен тропот, звънят само гривни и гердани.
staroplaninskilegendi_08_yovkov_0030|Жал но изписква кавала ти млъква.
staroplaninskilegendi_08_yovkov_0031|Всички звъздишка устремяват очи нагоре, гдето между големите дървета се губят няколко сенки.
staroplaninskilegendi_08_yovkov_0032|И селото бързо се разнасяше мълвата. Стефан дохождал. Стефан свирил на хорото.
staroplaninskilegendi_08_yovkov_0033|Дочуваше и тя, злочестата му майка. И когато последните му ми и булки се прибираха от чешмите, по стръмния баир към кориите пристъпваше черна сянка.
staroplaninskilegendi_08_yovkov_0034|Това беше май към Му.
staroplaninskilegendi_08_yovkov_0035|Момите се спираха и чуваха да долита до тях сърце-раздерателният и вик, който заглъхваше в тъмнината и в шума на кориите.
staroplaninskilegendi_08_yovkov_0036|И когато в хладната сутрин на другия ден Стефан и другарите му се събуждаха под кръстати буки, под които бяха прекарали нощта, далеч поголите сипейте виждаха да крета жена.
staroplaninskilegendi_08_yovkov_0037|до тях достигаше слаб, покъртителен вик.
staroplaninskilegendi_08_yovkov_0038|Стефане, пак майка ти! Излез, покажи я се най-после! Майка е!
staroplaninskilegendi_08_yovkov_0039|Ах, той не се търпи вече. И ние майки имаме. Оставили сме ги да плачат и да чърнеят по нас, искаме да ги забравим. А ето всеки час майкът и ни спомня за тях. Не може вече, сърце слабее, кураж се губи. Стефане, голям грях ще сторим, ще хвърлим, майкът и ще убием.
staroplaninskilegendi_08_yovkov_0040|Тъй говореха суровите и мрачни хайдоти, чието корави сърца дори бяха трогнати.
staroplaninskilegendi_08_yovkov_0041|но Стефан не чуваше. И все тъй, подпрял глава на ръка, стоеше замислен и тъжен.
staroplaninskilegendi_08_yovkov_0042|Наскоро след това той се изгуби. Майка му никога не узна къде е самотният му гроб.
staroplaninskilegendi_08_yovkov_0043|Дядо Въльо свърши разказа си. Замълчахме и двама и станахме да си ходим. Припадна здрач. Душата ми беше препълнена с картините на чудния разказ. Чърковната глухо шумеше. И мене ми се струваше, че виждам приведената фигура на майката да пълзи по сипейте. Стори ми се, че чувам отчайния и вик.
staroplaninskilegendi_08_yovkov_0044|Черковната шумеше, сякаш тя разказваше скръбната и горка повест на овчаровата тега.
staroplaninskilegendi_08_yovkov_0045|Крайнов чарова жалба
staroplaninskilegendi_09_yovkov_0000|През чумовото от Старопланински легенди на Йордан Йовков. Записано за LibriVox.org. Записът е обществено достояние.
staroplaninskilegendi_09_yovkov_0001|Божиим попущением той лето удари една чума напрасно и запали вся земя и късъбите и селата. Не оста чисто ни едно село, грех ради наших.
staroplaninskilegendi_09_yovkov_0002|Стар Литу Пис.
staroplaninskilegendi_09_yovkov_0003|Чу се, че в долните села, далеч не повече от един ден път, дошла чумата и хората там мрели толкова много, че не сварвали да ги погребват. Тая страшна вест изплаше всички и, както ставаше и при друга напъст, когато се задъдяха кърджали или се повдигнеше сефер и война, мъжете се насъбраха на черковното кафене, а жените по протките и се заловиха да тълкуват новината.
staroplaninskilegendi_09_yovkov_0004|И тъй като опасността беше еднаква за всички, примирението лесно идеше и в тая задушевност мнозина дори можеха да се шегуват и смеят. Но вечърта, когато всеки се прибрал дома си и остана сам, призракът на смъртта отново се изправи, неумолим и страшен.
staroplaninskilegendi_09_yovkov_0005|На другия ден всеки мислеше съсе да си замолепсан от чума, затваряше се в къщата си и здраво залостеше вратите. Спотаиха се всички и само чакаха да чукне клепалото заумряло или да се вдигне плач в някоя къща. Ай, самото време беше нездраво, задушно. Въздухът, отровен от тежките ми азми на лешове и нечистотия и беше замрежен от прах. Същият той прах покриваше къщи, дървета и улици, тъй че всичко беше потъмняло и си.
staroplaninskilegendi_09_yovkov_0006|Месеци наред не беше капнало капка дъжд. Горите на Среща в планината горяха. Денем там се виждаше само дим, но вечер върху тъмните плещи на Балкана пламваше огнената линия на пожарите, сключена в огромен кръг, който все повече растеше.
staroplaninskilegendi_09_yovkov_0007|Всички тия неща, твърде обикновени във всяко друго време, сега добиваха смисъла на знамения. Страх подкосяваше силите, помътваше разума. Страшната болест дебнеше от всякъде и всеки гледаше да си помогне сам, както знаеше и както беше чувал.
staroplaninskilegendi_09_yovkov_0008|Чесънат стана скъпо и рядко лекарство. Не забравиха и силата на магиите. Пред много протки увиснаха чудновати китки, в които имаше сух босилек, червена нишка и крило от прилеп или кълка от жаба.
staroplaninskilegendi_09_yovkov_0009|Из гиризите протекоха разноцветни води, в които се виждаха остатъци от варени билки. Някой се досети и запали в двора си огън от говежди тор. Скоро такива огняве пламнаха във всяка къща. Гъст мирезлив дим изпълни селото, смеси с дима от пожарите на Балкана и замъгли цялата околност.
staroplaninskilegendi_09_yovkov_0010|Не подухва ше и най-слабият вятър. Тишината стана още по-дълбока и по-страшна.
staroplaninskilegendi_09_yovkov_0011|Минеха тъйня кулкудения.
staroplaninskilegendi_09_yovkov_0012|Никой не умря. Чумата не беше дошла, може би и нямаше да дойде.
staroplaninskilegendi_09_yovkov_0013|Хората позабравиха предпазванията си, взеха да си приказват най-напред през плетищата, после по комшолуците и най-сетни излязоха и по улиците.
staroplaninskilegendi_09_yovkov_0014|Но никоя зло не иде само. През тия няколко дни във всяка къща усетиха нужда от много неща. Брашното се привършваше и друга не по-малка опасност показваше вече страшното си лице – глъдът.
staroplaninskilegendi_09_yovkov_0015|Жените се вайкаха и плачеха пред мъжете. Мъжете се срещаха край плетищата, размениха по някои думи и гледаха в земята.
staroplaninskilegendi_09_yovkov_0016|Утре селото ще ще да пламне от страшната болест. Какво ще правят? Да бягат в Балкана? Но всеки имаше на главата си по 5-6 гърла и трябваше да си мисли за най-главното. За хляба. Трябваше един умен, един сърцат човек, който да каже какво да се прави и да поведе селото. Името на Хаджи Драгана започна да се шепне по-често. Той беше човекът, който можеше да спаси селото. Първом това си го казаха
staroplaninskilegendi_09_yovkov_0017|Изпътя старците позабравиха за чумата и мислиха как ще влязат в къщата на Хаджи Драгана. Сприхъв и начасничъв човек беше Хаджият, понякога ще те посрещне тъй, че не знае къде да те тури, а понякога ще те нахока и ще те изпъди.
staroplaninskilegendi_09_yovkov_0018|И когато старците стигнаха пред тежките, обковани с желязо порти на хаджи Драгановата къща, идя до ней комуфтарът, почука на мандалото, всички други сложиха ръце на патериците си и потопиха очи в земята.
staroplaninskilegendi_09_yovkov_0019|За голямо очудване, той път, що му казаха на Хаджи Драгана кои са и защо идат, той на часа каза да ги пуснат.
staroplaninskilegendi_09_yovkov_0020|И дворът на Хаджи Драгана се стори на старците не е такъв, какъвто го знаеха. Аргатинът, който вървеше пред тях, като че стъпеше на пръсти. Очите му гледаха плахо. Никоят многобройната челед на Хаджият не се виждаше из двора. Големите анадолски кучета не се и помръднаха на синджирите си. Но през оградата на градината заничаха вейки с жълти едри дюли. И старците си помислиха, че ако те изглеждат тъй хубави, той затуй, защото утре не ще има ръце.
staroplaninskilegendi_09_yovkov_0021|Когато стигнаха под асмата и повдигнаха очи, там нямаше толкова листи, колкото грозди.
staroplaninskilegendi_09_yovkov_0022|и тия черни, набити гроздове им се створиха същота и прокоба на напъст.
staroplaninskilegendi_09_yovkov_0023|Намериха хаджият горе в стаята, седнал по турски на минсофата, с чебук в ръка, а други пет-шест празни чебука бяха наредени на стената зад него. Отпред емо на червений килим беше сложен филджанс кафе, слънчевия сноб, който влизаше през прозореца, плуваше на тънки и виците отюневдим. Из ути по лъпчуни старците безшумно минаха и насядаха по възглавниците. Скъп беше на приказки хаджи Драган и направо ги попита какво ги носи при него.
staroplaninskilegendi_09_yovkov_0024|Отдъхнаха си старците, като видяха поне една весела душа в селото. Очите натиха, продълговати и черни като сливи, пакта и дяволито си светеха, косите й бяха гладко прибрани на път, страните й пресни като праскова. Тя не се стърпя да не се закачи и сега, и като подаваше кафето на старците, успя да им пришепне без да я чуя баща й, че й е чудно как чумата не е взела още такива стари хора като тях.
staroplaninskilegendi_09_yovkov_0025|— Да пази бог, Чедо! каза дядо Нейко. То като дойде, не гледа старо, младо? — Не! засмя се пак тиха. Стари кожи й трябвали сега. Старите щяла да мори.
staroplaninskilegendi_09_yovkov_0026|Докато хаджият разбере за какво приказват, тиха излезе.
staroplaninskilegendi_09_yovkov_0027|Поискаш ли си, дядо нея, кое едно, да скриеш шегата на момичето, друго, за да се приготви и пак почна думата си. Отново приказва за чумата. После за глъда, после пак за чумата.
staroplaninskilegendi_09_yovkov_0028|Най-после той свърши и рече. Селото на тебе, гледа хаджи, ти баща, ти майка.
staroplaninskilegendi_09_yovkov_0029|В тая решителна минута старците наведоха очи и чакаха да чуят, какво ще ще да каже Хаджи Драган. Изведнъж весел, гърлест смях е к на встаета. Смееше се Хаджи Драган. Старците очудено го гледаха. Едър човек беше Хаджият и както беше се дръпнал назад и се смееше, цялото му тяло се тресеше, а лицето му беше се наляло с кръв.
staroplaninskilegendi_09_yovkov_0030|Та зато и ли сте дошли при мене? гръмна дебелието му глас. Ами че аз, ха-ха-ха-ха-ха, аз сватба ще захващам днес, а ви за умиране приказвате. Какво думаш, Хаджи? рече дядо Нейко. Може ли? Защо да не може? Жени тиха ви казах. Останало ми е едно момиче, ще ожени и него. Бива ли, Хаджи? Хората мрът. Кой мре? Къде мрът? Какво ми дрънкате вие мене?
staroplaninskilegendi_09_yovkov_0031|Стъртите трепнаха.
staroplaninskilegendi_09_yovkov_0032|Надеждата, която всеки таяше в себе си, се пробуди и те й повярваха. Право казваха джият, казаха си те. Не ще да е чума, страх ще. Не отстъпваше само дядо Нейко, а гледа, брашно няма вече от никого.
staroplaninskilegendi_09_yovkov_0033|Хаджи Драган махна с чебука си. Хамбарите ми са пълни. Има за цяло село. Ще дам на всички. Не ще им го дам тук от тъй. Ще ми го платят, когато имат, но ще им дам. А сватбата ще си направим.
staroplaninskilegendi_09_yovkov_0034|Когато по-късно тиха влезе и за трети или четвърти път внесе пълно бъкърче с вино, от старото, червено вино на хаджият, тя завари старците, че приказват всички в един глас, весели и пийнали. И тя шеташе между тях, усмихваше се и по-смело им подхвърляше шегите си.
staroplaninskilegendi_09_yovkov_0035|– Ви приживе помана ли си правите? – казваше им тя.
staroplaninskilegendi_09_yovkov_0036|А старците клатеха глава, смееха се и в сладкото опиенение на виното, което сякаш ги люлееше на люлки и ги караше да забравят възраста си. Тая черноока мума им се виждаше такава палава, такава хубава.
staroplaninskilegendi_09_yovkov_0037|а следобяд стана тъй, както беше казал Хаджи Драган. Свадбата започна. Сред мъртвилото, което досега цареше в селото и сред гъстия дим на огневите, изведнъж се зачуха гайди, загърмяха тъпани. По протките и по мегданите се насъбраха жени. Какво е той? Луди хора ли има в селото? А когато разбраха, че Хаджи Драган жени дъщеря си Тиха, същото казаха и за него. Луд ли е? Такова време.
staroplaninskilegendi_09_yovkov_0038|къде драган знае какво прави.
staroplaninskilegendi_09_yovkov_0039|Остана само една загадка. Защо Хаджи Драган женеше Тиха за същия той момък, чийто свътовници беше върнал преди месец?
staroplaninskilegendi_09_yovkov_0040|Тогава бяха помислили, че Тиха иска да чака Величка Дочкин с когото се бяха искали и който от три години беше напечала. Какво беше станало сега? Тиха ли се беше отказал от Величка или Хаджи Драган беше се раздумал?
staroplaninskilegendi_09_yovkov_0041|Ето за кое се приказваше по Протките и по Мегданите. А в това време дядо Нейко слизаше от единия край на селото към другия.
staroplaninskilegendi_09_yovkov_0042|Защо Хаджи Драган даваше дъщера си на Люцкановия син, добър и имотен момък, а не чакал да се върне синът на дочка-вдовицата гол като хурка, това не го занимаваше. Хаджи Драган знаеше какво прави. Важното за дяда Нейка беше, че хамбарите на Хаджи Драгана се отварят за селото и каквото и да става, глад няма да има. Това той разправеше на жените, покрай които минаваше и завършваше.
staroplaninskilegendi_09_yovkov_0043|И той казваше това не само да обудрява другите, а сам вярваше в него. И Весел, важен като всеки муфтар и малко спомътена глава от старото вино на Хаджи Драгана, дядо Нейко продължаваше пътя си.
staroplaninskilegendi_09_yovkov_0044|Той гледаше да стигне до долния край на селото, защото там беше си нарочил най-главната работа. Знаеше, че докато мало и голямо си чудеше, где да се дене от страх, тук, в долната махала, дрипави нехрани майковци се събираха по механите и казваха, «Нас чума ни ни хваща! Чумата е за чорбаджиите! Ние ще ги мъкнем на гробищата!»
staroplaninskilegendi_09_yovkov_0045|Сега дядо Нейко ги свари в механата, че държат чашите си, слушат тъпаните и се гледат като замаяни. — Какво е? — питат се. — Какво е? — отговаря дядо Нейко. — Сватба.
staroplaninskilegendi_09_yovkov_0046|и си излиза като ги оставя да се гледат един други в очите и да се чудят.
staroplaninskilegendi_09_yovkov_0047|Когато дядо Нейко се върнал Хаджидраганови, на двора под асмата, под черните гроздове, играеше голямо хоро. Играеха като луди, потънали в под, като че бяха къпани. Нямаше врагове вече Хаджидраган. В двора му беше се събрало цяло село. Който беше на хорото, играеше, който не, отиваше при хамбарите и подлагаше чувалчето си. Вълко, кехаята на Хаджидрагана, сипеше жито като злато и белеше с ножа си по рабошите.
staroplaninskilegendi_09_yovkov_0048|Така вървя тайни бивала сватба цяла неделя. Съмнеше ли се? Всеки тичаше към хаджи драганови. Развеселяваха се един-други, играеха до премаляване. Но имаше нещо болно в това веселие. Пиеха вино, за да приспет грижите си, смееха се, за да прикрият страха си.
staroplaninskilegendi_09_yovkov_0049|И гледаха се плахо един други и всеки мислеше, че някой знае нещо лошо и не го казва.
staroplaninskilegendi_09_yovkov_0050|А вечер пожарите светеха на Балкана.
staroplaninskilegendi_09_yovkov_0051|Штом се приберяха у дома си, същите тия хора, които бяха се веселили на сватбата, сега заключваха вратите си и плахо се услушваха.
staroplaninskilegendi_09_yovkov_0052|Залъцайте се спираха на гърлото им.
staroplaninskilegendi_09_yovkov_0053|Когато заспиваха, душеше ги тежка мора.
