zhetvariat_01_yovkov_0000|ЖЕТВАРЕТ ГЛАВА ПЪРВА
zhetvariat_18_yovkov_0037|Но Гроздан малко се загрижи за това. Той се обърна и погледна още веднъж след момката. Той вървеше бързо, размахваше ръчта в ръката си и от време на време я поглеждаше, като че искаше да каже пак, «Голям бе рекет, голямо чудо ти казвам!»
zhetvariat_18_yovkov_0038|Гроздан помисли една минута и бавно продължи пътя си.
zhetvariat_18_yovkov_0039|На лицето му се появи същата усмивка, като омонката. Равнодушен до сега към всичко наоколо, той почна да си заглежда в нивите. Радваше се на това небивало плодородие, преценяваше и сравняваше с окото на опитен и вещ познавач.
zhetvariat_18_yovkov_0040|Всички ни ви бяха добри, но все пак малка или голяма разлика можеше да се направи между тях.
zhetvariat_18_yovkov_0041|Там, където оранта е била по-дълбока, семето чисто и засято равномерно, нивата беше гъста, равна и наситено зелена. Тампак, където работата е била по-немърлива и нескопостна ръка е засявала, нивата беше по-слаба, изникнала на гнезда и обхваната от плевел.
zhetvariat_18_yovkov_0042|Все пак дъждът и благоприятното време заличаваха много от тия недостатъци.
zhetvariat_18_yovkov_0043|Дълго време Гроздан ходи из нивите. Той се спираше и внимателно глеждаше всичко, увлечен, зарадван, като че обхождаше собствените си си идби. По едно време той се досети и за синото, което уж беше дошъл да види.
zhetvariat_18_yovkov_0044|Нивата беше наблизо и скоро той беше пред нея.
zhetvariat_18_yovkov_0045|Тревата беше висока, гъста и след няколко дни трябваше вече да се коси.
zhetvariat_18_yovkov_0046|Една неотолима жажда за работа обзе Гроздана. Сладостни тръпки преминаха по тялото му. Стана му мъчно, че беше продал това сено. Инак, той би дошъл тука и с такава радост би се заловил да коси.
zhetvariat_18_yovkov_0047|Тежка, но приятна е тая работа и в нея силата и сръчността на човека могат да добият най-широкия си размах.
zhetvariat_18_yovkov_0048|Хубаво е.
zhetvariat_18_yovkov_0049|Слънцето се издига и припича. Пот облива не само лицето, но и цялата снага. Ризата потъмнява на гръба и лепне. Но в късите почивки, когато брусът набързо изглажда косата, погледът сварва да обгръне това, което остава още, да се порадва и на извършеното вече.
zhetvariat_18_yovkov_0050|Умората не се чувства. Разгаря се все по-голяма и по-голяма жажда за работа.
zhetvariat_18_yovkov_0051|Гроздан кръстоса няколко пъти надлъж и нашири снивата. След това излезе на пътя и се повърна назад.
zhetvariat_18_yovkov_0052|Една голяма промяна беше станала в него. Лицето му беше се прояснило. Той се усмихваше. Изглеждаше пак така увлечени вглебен в мислите си, но тия мисли вече не го измъчваха, а го радваха и ободряваха.
zhetvariat_18_yovkov_0053|Той пресмяташе, съобразяваше, кроеше нещо.
zhetvariat_18_yovkov_0054|Няколко пъти той високо си прошепна с глас, монката има право. И пак се замисляше.
zhetvariat_18_yovkov_0055|Беше рано, не му се ходеше още. Той излезе отново при могилата и се изкачи по нея. Един ястреб беше кацнал навърха и погледна го недоволно с намръщените си жълти очи и не без мъка се реши да хръкне.
zhetvariat_18_yovkov_0056|Гроздан легна на същото място, гдето беше по-рано. Той хвърли сега възторожен и пълен с любов поглед на около. От всякъде полъхваше към него нещо родно, познато и скъпо. Изтегнато до далечните граници на хоризонта, огромно и могъщо, полето вълнуваше буйните си ниви, говореше сякаш и зовеше.
zhetvariat_18_yovkov_0057|Монката има право. Прошепна си пак гроздан, като че отговаряше на някоя своя мисъл и се усмихна пак.
zhetvariat_18_yovkov_0058|Земята беше топла под него, тревата шумеше по върха на могилата. Той повече не мислеше, гледаше само полето. Чувстваше се добре, успокояваше се. И също като някой дете, което е плакал от дълго време и най-после намира отеха на майчените си скоти, той забрави всичко, затвори очи и заспа.
zhetvariat_18_yovkov_0059|Крайна глава, 18-а.
zhetvariat_18_yovkov_0060|Този запис е обществено достояние.
zhetvariat_19_yovkov_0000|ЖЕ ТВАРЯТ ГЛ. 19
zhetvariat_19_yovkov_0001|Записано за LibriVox.org
zhetvariat_19_yovkov_0002|Житварят. Повест от Йордан Йовков. Глава 19.
zhetvariat_19_yovkov_0003|Същия той ден Радулов и учительката от загорци Райна наедно с учениците си трябваше да се срещнат при Крушака, една хубава местност на половината път между двете села. Там имаше разваление на някаква крепост и десетина стари крушови дървета, единственият кът на цялата околност, където пътникът можеше да намери малко сянка. Първ престигна с учениците си Радулов. След малко повърхън от срещния рит се показаха и учениците на Райна, заспущаха се надолу и разноцветните дрехи на децата
zhetvariat_19_yovkov_0004|Настрана и високо над всички се виждаше стройната и тънка снага на учителката, облечена в бяло и с бял чедър.
zhetvariat_19_yovkov_0005|Радулов ясно различаваше вече всяко нейно движение и особената й походка, стремителна и плавна. Той изкомандва на учениците си и те извикаха «Ора!». Настъпи къса пауза. Отсреща редицата си вървеше спокойно, като че нищо не бяха чули. Изведнъж там се размахаха ръце, затрепкаха като птички шапки и кърпи и довеяно всякаш от вятъра чу се и тяхното «Ора!». Пискливи и тънки гласчета, които не издържаха, скъсаха си.
zhetvariat_19_yovkov_0006|Учениците на Радулов пренебрежително се изсмяха и нададаха още по-силен вик.
zhetvariat_19_yovkov_0007|Радулов вече не обръщаше внимание на тях, а продължаваше да гледа Райна. Лицето му, отначало усмихнато, малко по малко стана замислено.
zhetvariat_19_yovkov_0008|Защо се съгласих за тая среща, каза си той, по-добре да не бях дохождал.
zhetvariat_19_yovkov_0009|Той си спомни за писмото, което преди два месеца беше писал на Райна и не е ния отговор. Онова, наситно сгънато писъмце, който той беше чел с Кришум през време на гущавката в училището. «Какво семейство ще бъдем ние?» пишеше там Райна. «Че най-напред ние за хляб пари няма да имаме».
zhetvariat_19_yovkov_0010|На неговото чисто, безкорисно увлечение тя отговори с хладната, бесердечна сметка на обикновена, практична жена.
zhetvariat_19_yovkov_0011|Несели кривише друго за той отговор. Радулов не поиска никакви обяснения, не настоява повече, скри мъката в себе си и няколко време престана да ходи в Загорци.
zhetvariat_19_yovkov_0012|Но той не издържа и отново започна да се среща с Райна, макар че не отваряше дума за онова, което беше се случило между тях.
zhetvariat_19_yovkov_0013|Показваше се спокоен, нехайно весел, а когато оставаше сам, страдаше както порано.
zhetvariat_19_yovkov_0014|Най-после двете страни се срещнаха и застанаха едни срещу други. Деляха ги само няколко крачки. Едните и другите се гледаха с голямо любопитство и докато по-малките, момиченца и момченца стояха на местата си и все още се държаха за ръце, като че се бояха да не се изгубят. По-големите се трупаха напред и, подтикнати от вроденото съперничество на съседните села, недовречиво се изглеждаха от глава до пети, всякаш взаимно измерваха силата на мускулите и на плещите си.
zhetvariat_19_yovkov_0015|Радулов и Райна се срещнаха между двете редици. «Закъснях, нали?» каза Райна като свича дъра си и подаде ръка на Радулов. «Докато ги съберат тия...» «Той и аз закъснях. Тая сутрин в наше село имаше голяма тревога. Защо? Какво има?» Обраха черквата. Но ще си обраха. Позъпря се Радулов и се усмихна, като видя как очите на Райна се разшириха от очудване. Имаше един златен венец на една икона. Открътили го и го откраднали.
zhetvariat_19_yovkov_0016|Те отстъпиха няколко крачки на страна и Радулов набързо разказа на райна всичко, което знаеше за кражбата. Когато свърши, той погледна към учениците и се засмя. Ей ги, и те за същото разправят, каза той.
zhetvariat_19_yovkov_0017|След първите недоверчиви погледи учениците от двете села бяха се размесили и събрани тук таме на купчини, внимателно слушаха онова, което по-възрастни деца от Люликова разказваха.
zhetvariat_19_yovkov_0018|Радулов и Райна отидоха при тях, събраха ги и ги заведоха на една поляна. Тук те ги оставиха да се забавляват сами, а двамата седнаха настрана под сянгата на една круша.
zhetvariat_19_yovkov_0019|Аз не знаех за тази икона, каза Райна. Нищо не бях чувала. Ако знаех, щях да се отбия да я видя. Но вие както разказвате, Радулов, тая икона прилича повече на картина, като че е рисувана от художник. Да, прилича на картина, но пак си е същинска икона. И лицето на Иисуса е толкова сухо, изпосталяло, както го рисуват всички иконописци. И дрехите, и те също. Нивите са направени така, че можеш да приброиш зърната на всеки клас.
zhetvariat_19_yovkov_0020|Тя гледаше настрана и очите ѝ бяха всете изамислени каквито бяха, когато слушаше за иконата.
zhetvariat_19_yovkov_0021|Тя никак не би била хубава, мислеше си Радулов като я гледаше, ако не бяха у нея тия черни очи, влажни и замислени, каквито са сега, и тия жълти капчици около очите.
zhetvariat_19_yovkov_0022|А вие, Радулов, какво реших те? Обида райна. Ще останете ли в Люлякуво?
zhetvariat_19_yovkov_0023|Радулов направи някакъв неопределен знак и не отговори. Колкото и да беше тежък животът му през годината, той се привърза към тия места и на драго сърце би останал, ако и рай не дойдеше и идащата година.
zhetvariat_19_yovkov_0024|Кажете де, къде ще бъдете до година? Попита пак Райна и едва долу вимо се усмихна, но Радулов забеляза тая усмивка. Къде ще бъда? Не знам. Люляково, на всеки случай няма да съм. Не ме искат пък и аз неща. Места много, ще и да не йде друга де.
zhetvariat_19_yovkov_0025|Той не беше мислил къде ще бъде занапред, но искаше да покаже, че го чакат само страдания и прибави. «Ще ида в някое затънтено село, някъде в Балкана. Искам да съм сам, да не се срещам с хора, да не виждам никого». «Какво говорите?» – учуди се Райна. «Че нали вие щяхте да дойдете в София?» «Не, не мисля. Нямам средства». «Но ще намерите работа, нали казвахте? Ще бъдем пак наедно, че аз само за това съм мислила».
zhetvariat_19_yovkov_0026|Радулов я погледна като че искаше да проникне в мисълта ѝ. Не говореше ли тя тъй само от състрадание към него? София тя отиваше, както беше чул от други, да се годява за един офицер. Все пак думите ѝ го зарадваха.
zhetvariat_19_yovkov_0027|Радулов говори още много и все повече се разпалваше. Отначало, когато малко го познаваше и като го виждаше да се събира с селени и да пие с тях, Райна мислеше, че той говори тъй, защото не е трезвен. Отпосле тя разбра, че негова черта беше да се вълнува и да се разпалва тъй, когато говори.
zhetvariat_19_yovkov_0028|Два му ученици додоха при Радулова и му показаха кристали от кварц, които бяха намерили в една скала.
zhetvariat_19_yovkov_0029|Други мислиха, че са намерили още по-рядък минерал, но излезе, че е обикновен червен камък.
zhetvariat_19_yovkov_0030|Докато Радулов се разправяше с тях, зададоха се още няколко ученици, разплакани, зачервени и още отдалеч извисок глас се обвиняваха и оправдаваха.
zhetvariat_19_yovkov_0031|Радулов Геомерей ги прати да играет.
zhetvariat_19_yovkov_0032|След това той замълча и се загледа пред себе си. Лицата му беше станало много бледно и съмненията на Райна, че той е болен, като че се потвърдяваха.
zhetvariat_19_yovkov_0033|Кой знай, може да се лъжа пък, заговори Радулов и въздъхна. Може и в София да не е тъй хубаво, може и по-лошо да е от тука. Право да си кажа, започна да ми обръзва всичко. Работиш, блъскаш се, а нищо не излиза от труда ти. Все се чувстваш нещо като петоколело. Друго нещо е обикновеният. Физически е работник. Той има едно занятие, което владее добре, има здрави мускули и това му стига. За него животът е прост и ясен.
zhetvariat_19_yovkov_0034|Защо ние мислим, че стоим по-горе от такива хора, а самият им вид ни побеждава?
zhetvariat_19_yovkov_0035|Люликово има един ковач, прост ковач, но право да си кажа, не мога да му се нагледам. Къде е? Аз в нищо не мога да се меря с него.
zhetvariat_19_yovkov_0036|Радулов се загледа надалеч, където под ведрата синена на небето се виждаха краищата на нивите с разлюлени вълни над тях.
zhetvariat_19_yovkov_0037|Или пък да си земледелец. Продължи с още по-голямо въодушевление той. Да работиш земята!
zhetvariat_19_yovkov_0038|Че е черен труд има като се знае, но той труд е достоен за човека. Та той го прави човек. Да не мислиш, че говори за селските идилии, както се описват в книгите. Друго, друго има тук. Има пълно приобщаване с природата. Природата и човекът, това е едно и също нещо. И справиш се, да речем, пред нивата, която си изорал, това не е само пръста, живо нещо, нещо добро и благосклонно, което разбира и приема трудът ти.
zhetvariat_19_yovkov_0039|Радостта на земята е твоя радост. Мъката и твоя мъка. Ей това е то живот. Да ходиш по света, да се учиш. Защо? Стой си дето си се родил и си живей както Бог те е научил. Живей тъй, че когато подигнеш очите си да виждаш звездите, а вятърът да лъха лицето ти. Живей както живеят тревите. И умри като тях. Като една трева, която пониква, съфва и най-после изсъхва и се стопява в същата тая трева.
zhetvariat_19_yovkov_0040|Радулов неочаквано се развесели, погледна Райна и каза.
zhetvariat_19_yovkov_0041|Аз ще имам един чифлик. Как, как ще го имам? Ще ми дойдете ли на гости тогаз? Да, нали? Ще ви посрещна още в града, на гарата. Аз ще нося зелена шапка с птиче перо, полушубка, гетри и камшик в ръката. Също като агроном. Може и да съм се изменил, но ще ме познаете. Заповядайте, ще кажа, кабриолетът чака. Чифликът е близко. Само два часа път.
zhetvariat_19_yovkov_0042|И ние ще тръгнем. И ще бъде хубаво времето. Ще пеят чучолиги. От двете страни на пътя ще се растилат едни само зелени и буйни ниви. Ще дойдете, нали?
zhetvariat_19_yovkov_0043|Повтори редулов и се засмя.
zhetvariat_19_yovkov_0044|Боже, колко е хубаво всичко това! Неволно извика Райна. Но ще дойдете, нали? Обещавате ли? Разбира се, ще дойда, но спечелете по-рано Чифлика. Това ще бъде! Отвърна Радулов и с едно особено натъртване в гласа си прибави. Понякога човек усеща сили в себе си не Чифлик, а цяло царство да спечели.
zhetvariat_19_yovkov_0045|Много немирство беше раздвижило децата. Към Радулова идеха група ученици, които дигаха голям шум, спираха се от време на време и отново поемаха пъти към мястото на съда. Пострадалият той път беше хубавичко едно момче, спретнато и чисто облечено. Лицата му беше издраскана и от носа му още течеше кръв, но по всичко се виждаше, че вината беше негова и ако плачеше, то беше повече от бесилие и оскърбена гордост.
zhetvariat_19_yovkov_0046|Радулов скоро ги помири и ги спрати да играят при другите. Разплаканото дете беше на поп-доча. Това подсети Радулова за кражбата на черквата. Той почна отново да разказва за нея на Райна, но говореше най-много за Груздана, а още повече за чудната и своеобразна икона на дяда Нетка.
zhetvariat_19_yovkov_0047|Крайна глава, 19 с.
zhetvariat_19_yovkov_0048|Този запис е обществено достояние.
zhetvariat_20_yovkov_0000|Жетварят. Глава 20. Записано за LibriVox.org
zhetvariat_20_yovkov_0001|Житварият. Повестот Йордан Йовков. Глава 20.
zhetvariat_20_yovkov_0002|Изведнъж децата прекратиха игрите си, развикаха се и се наисправиха. Всички гледаха в една и съща посока. Радулов и Райна станаха. Учителката извика уплашено и закри очите си с ръка. Долу ставаше нещо страшно. Конете на една кола бяха се подплашили и бясно препускаха. Едри и черни като смола, силните животни летяха с всички сили. Колата поди летях трещеше, подскачаше, люлееше се ту на една, ту на друга страна,
zhetvariat_20_yovkov_0003|Вътре имаше някакъв човек. Изпуснал юздите, изплашен, изгубил всяка надежда да спре обезумелите животни, той беше се присвил на кълбо, държеше се с две ръце за съндъка и задавено викаше за помощ. Хора нямаше наоколо, Радулов и децата бяха далеч. Конете продължаваха да препускат всета и лудо, но не излизаха от пътя за щастие, равен и безопасен. Но наблизо имаше завой. Там пътят ставаше много тесен.
zhetvariat_20_yovkov_0004|Оплашените животни продължаваха, без не си бяг срещу него, готови да го претъпчат. Високият селенин отстъпи от пътя и махаше сабата си вече в самите очи на конете.
zhetvariat_20_yovkov_0005|Изведнъж те се поколебаха и без да се спират опитаха се да възвият на страна.
zhetvariat_20_yovkov_0006|С една удивителна смелост и бързина Селени надхвана юздите и тъй силно ги раздруса, че конете спряха като заковани. След някой напразни и отчаяни усилия още те разбраха, че не ще избягнат от тия силни ръце и спряха.
zhetvariat_20_yovkov_0007|В това време човекът, който седеше в колата, невярващ може би, че конете ще бъдат обоздани, хвърли се и изкочи от колата. Изкочи зле, защото падна и остана неподвижен, с захлупено към земята лице.
zhetvariat_20_yovkov_0008|Никой не можеше да му помогне, защото единственият човек там, високият Селенин, все още се занимаваше около конете. Последван от децата Радулов вече тичеше на татък.
zhetvariat_20_yovkov_0009|Но преди той да стигне, друга една кола се зададе насреща из пътя. Няколко души имаше в нея. Единият остана при конете, а другите слязоха и като пристягаха поясите си, жъжката се спуснаха към мястото на нещастието. Те поеха конете и почнаха да ги разпрягат. Тогава високия целини нотиде припадналия, изнесе го на страна и му помогна да седне. Так му в тая минута стигне и Радулов. Той не вярваше на очите си. Човекът, който беше скочил от каруцата, не беше никой.
zhetvariat_20_yovkov_0010|Не беше време за смях, но Радулов не можа да удържи усмивката си. Старият Чорбаджия беше доста пострадал. Той беше оплашен и разтреперен, лицето му беше бяло като платно, по челото му течеше тънка струйка от кръв.
zhetvariat_20_yovkov_0011|Той не можеше още да продума, само охкаше и пъшкаше. Гроздан взе едно стъкло с вода от децата, поръси го по лицето й му даде да пие. Всичко това той вършеше с една малка усмивка, повече в очите отколкото на устните си, но беше сериозен и сдържан. Дали защото беше залисан или пък нарочно, той ни веднъж не погледна към Радулова.
zhetvariat_20_yovkov_0012|Превълчана дойде един от загорчените, които бяха дошли с колата, а Гроздан отиде към конете.
zhetvariat_20_yovkov_0013|Ох, Божичко! пъшкаше Вълчан. Ох, какво ще ще да стане? Ах, главата ме боли, главата ме боли много! Понатъртил си се малко, каза Загорченинат, очите на когото също играеше усмивка. Понатъртил си се, ще премине. Че как стана тята с работа, бе дядо Вълчане? Ох, как стана, как стана? От де да знае човек какво може да му се случи? Ох, оле ле, майчице! Ходих на нивата.
zhetvariat_20_yovkov_0014|Вълчан нищо не каза. Погледна само очите ли и като лови с двете ръца и главата си, запъшка пак.
zhetvariat_20_yovkov_0015|Подпомаган от другите селени, Гроздан беше впрегнал конете. Животните бяха се по-успокоили. Гроздан седеше в колата и здраво държеше юздите. Помогнаха и на дяда Вълчана да се качи. Колата тръгна към Люликово. Отпред стоеше и караше конете Гроздан. Зад него беше Вълчан. Радулов дълго време гледаше след тях и като се усмихна, каза
zhetvariat_20_yovkov_0016|Ей туй се казва Гарвън с галъбица. Ад, ужасен срай. Да не бях ги видял с очите си, нямаше да повярвам. Никога нямаше да повярвам. Защо? Опита Райна, което стоеше до него, още е оплашена и бледа. Тия хора са смъртни врагове. Карат се и се преследват от години. Особено пък напоследък. И право да си каже, когато видях Гроздан наведен над той стари зедник, по-скоро помислих, че той се готови да забие ножа в гърлото му, отколкото...
zhetvariat_20_yovkov_0017|Ново противоречи Радулов.
zhetvariat_20_yovkov_0018|Както вървяха бавно и се разговаряха, достигнаха до същото място, където бяха стояли порано.
zhetvariat_20_yovkov_0019|Наедно с тях се прибираха и учениците им. И те още бяха заняти с преживяната случка. Вървяха на купища и сред тях някой по-големички момчета разпалено говореха, като придружаваха описанията си с жестове, които явно беше имитираха гроздана. Силата и безстрашието му, проявените и неочаквано срещу разбеснелите куне, бяха пленили въображението на тия малки герои. По-тихи и по-милосърдни, момичетата слушаха мълчаливо и мислеха повече за болките и за страданията на му.
zhetvariat_20_yovkov_0020|Крайна глава 20
zhetvariat_20_yovkov_0021|Този запис е обществено достояние.
zhetvariat_21_yovkov_0000|ЖЕТВАРИТ ГЛАВА 21
zhetvariat_21_yovkov_0001|Записано за LibriVox.org
zhetvariat_21_yovkov_0002|Житварят. Повест от Рдан Йовков. Глава 21.
zhetvariat_21_yovkov_0003|Тревогата в Люляково след обира беше голяма. Още рано сутринта Клисарят Пено беше отишъл както всякога, за да измете и да приготви едно друго за утрината. Не без лоши предчувствия добрият човек забеляза още отдалеч отворените на широко врати. Той влезе вътре, видя набързо извършеното злодияние и без да се бави оплашен и бледен хукна да обади на поп доча. Но за да стигне до дома му той трябваше да прикоси почти цяло село. На много места, без да се спира, като викаше,
zhetvariat_21_yovkov_0004|Невъобразимо кощунство изпъкна пред очите им. До самите царски двери стоеше новата икона. Тя беше всета и хубава, както я знаеха всички. Сред блесналото злато на озрелите ниви се изправеше фигурата на Исуса, замислен, благославещ, с кротки и печални очи.
zhetvariat_21_yovkov_0005|Бледното му лице изглеждаше сега още по-скръбно и по-измъчено.
zhetvariat_21_yovkov_0006|Златният венец липсваше. Навсякъде около главата се виждаха дълбоки дръскотини, оставени от ударите на ножа.
zhetvariat_21_yovkov_0007|Но това, което най-много порази и смае всички, бяха капките Алина кръв, засъхнала върху бледното чело на иконата.
zhetvariat_21_yovkov_0008|Всички гледаха тая кръв и някакъв мистичен ужас пълнеше широко разкритите им очи.
zhetvariat_21_yovkov_0009|Нейкохметът, секретар Бирникът и някои селини размениха помежду си спокойни и трезви думи за вероятния и съвсем несвърхъестествен происход на тази кръв.
zhetvariat_21_yovkov_0010|Те нарочно говореха високо, за да ги чуят всички и да се успокоят.
zhetvariat_21_yovkov_0011|Но жените, особено по-старите от тях, не искаха и да чуят.
zhetvariat_21_yovkov_0012|Те гледаха кървавото чело на Исуса, кръстеха си като дигаха очите си към небето, шепнеха молитви, проклятия и жалби.
zhetvariat_21_yovkov_0013|За тия тъмни и предани души, те изклонни към състрадания и скръп, иконата беше живо същество, с кръв, плът и нерви. В техните очи Божият син беше претрапял ново мъченичество, непростимо и жестоко.
zhetvariat_21_yovkov_0014|Нова голгота стоеше пред тях и те чакаха да се затъмни слънцето, да се разтрясе и разпука земята.
zhetvariat_21_yovkov_0015|Паметът на всички беше още пресен споменът за оная чудотворна икона в черквата на едно съседно село, по образа на която се събираха и капеха същински сълзи.
zhetvariat_21_yovkov_0016|Тая плачеща икона беше разволнувала тогава цялата околност.
zhetvariat_21_yovkov_0017|Виждаха в нея знамения за нещо неизбежно и страшно. И наистина, нечувана буря се зададе един ден и едра градушка обинивите на десет села.
zhetvariat_21_yovkov_0018|Сега и тая кръв върху челото на Исуса викаше и говореше за страшен и непростим грях, призуваваше заслужено и тежко възмездие, което щеше да падне не само върху главата на престъпника, но може би и върху цялото село.
zhetvariat_21_yovkov_0019|Дълго време черквата не остана празна. Макар, че някой кметът искаше да се затвори, за да останат непокътнати следите на престъплението, никой не искаше да се подчини и да излезе. Една след друга идеха жените, ходили набързо до къщи, паляха свещи, кичеха иконата с различни дарове, пешкири, некроени платна, стари пари. И пред бледния лик на Исуса, който ги гледаше с печалните си очи и разкрвавено чело, еструбаха дълбоки поклони, бияха чалата си от първата стена,
zhetvariat_21_yovkov_0020|Не беше трудно за никого да се досети кои бяха виновниците и на това злодияние. Още вчер къв неедни оста прошепнаха имената на Гроздана и Тачката.
zhetvariat_21_yovkov_0021|И неко кметът, подпомаган от секретар Бирника и поп Доча, вече долавеше нишката на престъплението и цялата тая тъмна история се разплиташе като чорап в ума му.
zhetvariat_21_yovkov_0022|Той път то изкаше да изненада злосторниците с бързи и решителни мерки, да арестува Гроздана и Тачката, да направи обиск в къщите им и, намери ли се или не Венецът, да ги изпрати в града.
zhetvariat_21_yovkov_0023|Общината се почна дълъг съвет. Макар и решен да действа смело, Нейков все още изучаваше, допълваше и осветляваше подозренията си.
zhetvariat_21_yovkov_0024|В това време един съсед на Вълчана дойде в общината и съобщи, че конете на Вълчана се подплашили преди малко, грабнали каруцата и кой знае какво е щеало да стане, ако не ги бил спрял, кой мислите? Груздан. Вълчан се оплашил и скочил от колата. Поударил се май зле и сега лежал. Колата докарал до двора му сам Груздан. Вълчан бил много трогнат и не знаел как да му благодари. Довчерашните врагове се разделили като най-добри приятели.
zhetvariat_21_yovkov_0025|Нейко, секретар Бирникът и Поп Дочо слушаха изненадани и смаяни. Цялата постройка на обвинението им, развито и завършено с такава ясна и неомолима логика, губеше здравата почва под себе си и рухваше изведнъж като картони на кула. Защото основният камък, на който те гръдяха всичко, беше от мъщението, с което Груздан преследваше стария Чурбаджия.
zhetvariat_21_yovkov_0026|Но ето, той проявяваше към него не предишната смъртна връжда, а най-голяма човещина.
zhetvariat_21_yovkov_0027|Решението им трябваше корено да се измени. Обиск можеше да се направи в къщите на Груздана и тачката, но венецът е малка вещ и лесно можеше да се укрие. Нямаше да добият никакви сериозни улики и в обвинението си щеха да останат с едно само подозрение. Груздан щеше да се оправдае лесно, освен това, както всякога ще се сметне за обидени срещу отмъщението му, което никога не закъсняваше, те оставаха безпомощни и незащитени с нищо.
zhetvariat_21_yovkov_0028|Нейко намери подкрепа и в селската мълва, която не само не отихваше, но растеше и се усилваше. И докато едни твърдяха, че това не може да бъде работа на други, го освен на Гроздана, други пък, било защото те бяха убедени, било пък само от желание да противоречат и да изкажат свое мнение, говореха, че Гроздан не е извършил това, че като той искал да си отмъщава, нямаше да отиде срещу цената на изгубени си имота да краде един венец, който макар и златен не струва кой знае колко.
zhetvariat_21_yovkov_0029|Тия доводи бяха основателни и не можеха да се отрекат.
zhetvariat_21_yovkov_0030|В отношението на двете връждуващи до вчера страни беше настъпила такава нечакана и странна промяна, че всеки който се опитваше да я обясни и разбере напълно, чувстваше, че навлиза в задънина и сляпа улица, махаше с ръка и се оставяше.
zhetvariat_21_yovkov_0031|Дядо Нетко още беше болен и не излизаше. Рядко някой имаше възможност да говори направо с него. Но сега едва Миселудо се появи и почна да се предава от уста на уста, разказът му за чудотворния начин, по който беше написал иконата си, за видението, който беше имала една нощ, когато Иисус му се явил точно те и както беше го изписал отпосле на иконата си.
